"","gene_id","gene_symbol","gene_entrez","gene_desc","hos_log2FC","hos_padj","os17_log2FC","os17_padj"
"40","ENSG00000116717","GADD45A",1647,"growth arrest and DNA damage inducible alpha",3.28457892157233,0,1.66856114575683,1.22224981234395e-188
"41","ENSG00000116761","CTH",1491,"cystathionine gamma-lyase",3.20479603996552,0,3.95221336307295,8.05879415313038e-175
"42","ENSG00000117228","GBP1",2633,"guanylate binding protein 1",5.79611267584929,0,7.40872039905459,0
"43","ENSG00000119917","IFIT3",3437,"interferon induced protein with tetratricopeptide repeats 3",6.06904524553703,0,5.32956960723728,2.01416137920741e-288
"44","ENSG00000119922","IFIT2",3433,"interferon induced protein with tetratricopeptide repeats 2",6.37433205466243,0,4.44990002227871,3.35169989560342e-68
"45","ENSG00000122406","RPL5",6125,"ribosomal protein L5",-1.95302554810142,0,-1.77311234454378,1.06916477712653e-149
"46","ENSG00000125347","IRF1",3659,"interferon regulatory factor 1",3.99941510812628,0,6.73711521850831,0
"47","ENSG00000125648","SLC25A23",79085,"solute carrier family 25 member 23",-1.76679005042568,0,-1.28386193841685,4.08183181474987e-37
"48","ENSG00000125691","RPL23",9349,"ribosomal protein L23",-1.96476907290654,0,-1.20290874965886,7.63304208325237e-52
"49","ENSG00000125826","RBCK1",10616,"RANBP2-type and C3HC4-type zinc finger containing 1",1.56173991312715,0,2.87871383577532,0
"50","ENSG00000126709","IFI6",2537,"interferon alpha inducible protein 6",5.46681522942711,0,5.20044274545923,2.88165633376612e-190
"51","ENSG00000130175","PRKCSH",5589,"protein kinase C substrate 80K-H",-1.51495904334595,0,-1.28840390292113,1.23091854919742e-28
"52","ENSG00000130303","BST2",684,"bone marrow stromal cell antigen 2",8.13506160093552,0,7.27763530221622,0
"53","ENSG00000130487","KLHDC7B",113730,"kelch domain containing 7B",7.05100376636095,0,11.1713003454875,0
"54","ENSG00000130589","HELZ2",85441,"helicase with zinc finger 2",4.42071173252628,0,4.35636306339979,1.06186884855387e-267
"55","ENSG00000130635","COL5A1",1289,"collagen type V alpha 1 chain",-2.75099255160808,0,-0.854507586818127,2.6851912819857e-09
"56","ENSG00000130766","SESN2",83667,"sestrin 2",2.22896735719795,0,4.41690346427351,0
"57","ENSG00000131389","SLC6A6",6533,"solute carrier family 6 member 6",-2.11378513614644,0,-1.15912522131822,7.04710761181915e-75
"58","ENSG00000131473","ACLY",47,"ATP citrate lyase",-1.13902064524044,0,-0.408561305594509,8.55049790965588e-18
"59","ENSG00000132274","TRIM22",10346,"tripartite motif containing 22",6.81636142710037,0,6.73744311351596,1.84079624958383e-208
"60","ENSG00000132530","XAF1",54739,"XIAP associated factor 1",6.35648117289314,0,6.20904705370951,0
"61","ENSG00000134247","PTGFRN",5738,"prostaglandin F2 receptor inhibitor",-1.92413145175477,0,-1.3671327191898,3.43603666900301e-89
"62","ENSG00000134352","IL6ST",3572,"interleukin 6 cytokine family signal transducer",1.46424979411419,0,1.83928767679078,4.8649179164761e-118
"63","ENSG00000135069","PSAT1",29968,"phosphoserine aminotransferase 1",1.65539254906868,0,2.80074743699461,3.06048113360528e-238
"64","ENSG00000135114","OASL",8638,"2'-5'-oligoadenylate synthetase like",6.50875131283758,0,4.38724377566209,2.36242098227133e-83
"65","ENSG00000135899","SP110",3431,"SP110 nuclear body protein",4.24164261883744,0,4.48170699535123,0
"66","ENSG00000136235","GPNMB",10457,"glycoprotein nmb",-1.97403524007719,0,-0.960942979802747,0.000308997979329586
"67","ENSG00000137496","IL18BP",10068,"interleukin 18 binding protein",5.421232408638,0,8.0147784165614,0
"68","ENSG00000137628","DDX60",55601,"DExD/H-box helicase 60",4.84160742222711,0,1.90817075268583,1.30811912647715e-86
"69","ENSG00000137965","IFI44",10561,"interferon induced protein 44",5.69954948406094,0,1.35183789743183,4.16002741271439e-37
"70","ENSG00000138496","PARP9",83666,"poly(ADP-ribose) polymerase family member 9",3.99447310800947,0,2.99634059716607,0
"71","ENSG00000138685","FGF2",2247,"fibroblast growth factor 2",2.20310493089465,0,5.1126834486661,0
"72","ENSG00000139269","INHBE",83729,"inhibin subunit beta E",5.42688774960937,0,4.1301472532474,0
"73","ENSG00000140105","WARS1",7453,"tryptophanyl-tRNA synthetase 1",3.60897583229263,0,7.24001479592651,0
"74","ENSG00000142089","IFITM3",10410,"interferon induced transmembrane protein 3",2.57333798812334,0,2.51317148125984,1.11742513685311e-219
"75","ENSG00000143384","MCL1",4170,"MCL1 apoptosis regulator, BCL2 family member",1.20472026513446,0,2.02326556923236,6.1715876584651e-197
"76","ENSG00000145623","OSMR",9180,"oncostatin M receptor",2.41662969034163,0,2.09728566014629,8.82143119812734e-98
"77","ENSG00000149131","SERPING1",710,"serpin family G member 1",5.48278010005816,0,4.89889488572157,0
"78","ENSG00000149716","LTO1",220064,"LTO1 maturation factor of ABCE1",2.28188090958997,0,2.12212927078446,4.4392069361241e-75
"79","ENSG00000151012","SLC7A11",23657,"solute carrier family 7 member 11",1.97916397004317,0,4.99341628805538,1.67042037723274e-187
"80","ENSG00000152778","IFIT5",24138,"interferon induced protein with tetratricopeptide repeats 5",2.5358121362241,0,2.25932489325449,1.86680717246025e-85
"81","ENSG00000153879","CEBPG",1054,"CCAAT enhancer binding protein gamma",1.71952585538268,0,3.14859623727612,0
"82","ENSG00000154451","GBP5",115362,"guanylate binding protein 5",8.46731233942292,0,9.6944392012484,0
"83","ENSG00000156587","UBE2L6",9246,"ubiquitin conjugating enzyme E2 L6",4.49802171243413,0,3.18511398141471,4.52501450907479e-258
"84","ENSG00000159403","C1R",715,"complement C1r",4.98699271046092,0,3.31685165322555,0
"85","ENSG00000160710","ADAR",103,"adenosine deaminase RNA specific",1.57086226821687,0,1.8068833451808,3.05410597850642e-149
"86","ENSG00000161091","MFSD12",126321,"major facilitator superfamily domain containing 12",1.56538563314645,0,1.75221685104347,4.91485134749442e-130
"87","ENSG00000162521","RBBP4",5928,"RB binding protein 4, chromatin remodeling factor",-1.54506508664635,0,-1.85841591581277,1.79700795857696e-83
"88","ENSG00000162645","GBP2",2634,"guanylate binding protein 2",3.41434820273884,0,3.66921643871929,6.42013598079656e-173
"89","ENSG00000162654","GBP4",115361,"guanylate binding protein 4",3.85683861826804,0,9.54971528231662,1.27903081263787e-295
"90","ENSG00000162734","PEA15",8682,"proliferation and apoptosis adaptor protein 15",1.73925702297403,0,1.56602583788661,2.44870662450982e-77
"91","ENSG00000163565","IFI16",3428,"interferon gamma inducible protein 16",3.46172965364442,0,2.71518265345695,1.60439995659391e-289
"92","ENSG00000163840","DTX3L",151636,"deltex E3 ubiquitin ligase 3L",5.11588781707341,0,3.82537909341247,0
"93","ENSG00000165732","DDX21",9188,"DExD-box helicase 21",1.53064316572701,0,1.73017319804728,2.01282335734838e-246
"94","ENSG00000166710","B2M",567,"beta-2-microglobulin",2.31319879622886,0,2.51524197147024,5.08897750638625e-190
"95","ENSG00000166741","NNMT",4837,"nicotinamide N-methyltransferase",1.94044921672286,0,2.06374298978533,2.01573653324595e-85
"96","ENSG00000166750","SLFN5",162394,"schlafen family member 5",2.29863376280775,0,2.97884632716691,0
"97","ENSG00000167658","EEF2",1938,"eukaryotic translation elongation factor 2",-1.7921192612608,0,-1.19240525066707,8.71810394920543e-53
"98","ENSG00000169180","XPO6",23214,"exportin 6",1.42496943873847,0,1.49959816576607,2.26091306789242e-66
"99","ENSG00000170581","STAT2",6773,"signal transducer and activator of transcription 2",3.09036302412896,0,2.18468541600418,5.85220754819533e-71
"100","ENSG00000172216","CEBPB",1051,"CCAAT enhancer binding protein beta",2.84698545121347,0,3.22804198357602,4.6541691595793e-297
"101","ENSG00000173193","PARP14",54625,"poly(ADP-ribose) polymerase family member 14",4.24888227611978,0,5.1249962116215,0
"102","ENSG00000177409","SAMD9L",219285,"sterile alpha motif domain containing 9 like",4.56478124269528,0,5.5418850288491,3.66084745063728e-272
"103","ENSG00000181026","AEN",64782,"apoptosis enhancing nuclease",2.01652477248739,0,1.45023724980187,7.14470457237469e-39
"104","ENSG00000182054","IDH2",3418,"isocitrate dehydrogenase (NADP(+)) 2",-1.86685912332306,0,-1.88058920493422,2.91454886754149e-49
"105","ENSG00000182199","SHMT2",6472,"serine hydroxymethyltransferase 2",1.37928152363838,0,0.971354785133727,1.54711369855645e-30
"106","ENSG00000184009","ACTG1",71,"actin gamma 1",-1.65341827645684,0,-0.216428219173647,0.038311105006312
"107","ENSG00000184979","USP18",11274,"ubiquitin specific peptidase 18",4.81085331915224,0,2.90249039915738,1.40972709456549e-77
"108","ENSG00000185585","OLFML2A",169611,"olfactomedin like 2A",-4.24410708934018,0,-2.70988455788418,1.44216181851633e-11
"109","ENSG00000185745","IFIT1",3434,"interferon induced protein with tetratricopeptide repeats 1",5.05934340366356,0,3.10800541704621,3.84896384708304e-67
"110","ENSG00000186141","POLR3C",10623,"RNA polymerase III subunit C",1.58558088238218,0,1.76024348155101,6.75170141529117e-85
"111","ENSG00000187608","ISG15",9636,"ISG15 ubiquitin like modifier",6.53309970680272,0,4.94464445258231,2.43314579655161e-136
"112","ENSG00000187840","EIF4EBP1",1978,"eukaryotic translation initiation factor 4E binding protein 1",1.58281435435629,0,2.06480803512292,5.66146522450539e-147
"113","ENSG00000188313","PLSCR1",5359,"phospholipid scramblase 1",4.38932623858116,0,3.8293680425098,0
"114","ENSG00000189060","H1-0",3005,"H1.0 linker histone",2.62878563376065,0,1.626196374078,4.56211812836104e-79
"115","ENSG00000197343","ZNF655",79027,"zinc finger protein 655",1.50471536136206,0,0.392475590487736,0.00275762130875594
"116","ENSG00000198242","RPL23A",6147,"ribosomal protein L23a",-1.61486382286265,0,-0.673547319398993,2.2092894883654e-13
"117","ENSG00000198380","GFPT1",2673,"glutamine--fructose-6-phosphate transaminase 1",1.52448471103227,0,2.38229769394153,2.17895919173356e-158
"118","ENSG00000204628","RACK1",10399,"receptor for activated C kinase 1",-1.29331058198734,0,-1.10517699055328,3.82169298594739e-55
"119","ENSG00000213928","IRF9",10379,"interferon regulatory factor 9",3.77799684395593,0,3.7247028555149,0
"120","ENSG00000221963","APOL6",80830,"apolipoprotein L6",4.17336202637456,0,2.91029521717165,0
"121","ENSG00000115268","RPS15",6209,"ribosomal protein S15",-1.35510531617875,7.09369284032795e-303,-1.00677327525091,3.06080264020163e-29
"122","ENSG00000124226","RNF114",55905,"ring finger protein 114",1.69609800612501,2.19992285302266e-301,1.56656009015882,6.13984097624088e-48
"123","ENSG00000175197","DDIT3",1649,"DNA damage inducible transcript 3",2.73313658645662,2.77216660194932e-297,4.76272273806997,0
"124","ENSG00000134333","LDHA",3939,"lactate dehydrogenase A",-1.51658474391275,5.75115792317746e-295,-1.47098997864228,9.23279508376419e-69
"125","ENSG00000162772","ATF3",467,"activating transcription factor 3",3.03427966669752,6.33057344219367e-291,3.06063528958187,2.07451902786256e-239
"126","ENSG00000123240","OPTN",10133,"optineurin",1.59414809293235,1.36825526183421e-290,1.85234596800563,2.55536004941912e-173
"127","ENSG00000125304","TM9SF2",9375,"transmembrane 9 superfamily member 2",-1.21212776390872,7.38609537090311e-290,-0.948588609113265,9.01434283316665e-36
"128","ENSG00000130741","EIF2S3",1968,"eukaryotic translation initiation factor 2 subunit gamma",-1.08031156989654,5.63944433977071e-289,-0.279374817515936,3.38359331561265e-08
"129","ENSG00000184557","SOCS3",9021,"suppressor of cytokine signaling 3",3.51299929074916,1.54317223409775e-288,0.70056625842078,4.94730646500698e-10
"130","ENSG00000005022","SLC25A5",292,"solute carrier family 25 member 5",-1.67869937323805,2.04456766058081e-288,-1.66145930133669,3.85748340490478e-67
"131","ENSG00000068654","POLR1A",25885,"RNA polymerase I subunit A",3.24999606142811,2.06581887630751e-287,1.34885027915382,4.84244296953069e-30
"132","ENSG00000120699","EXOSC8",11340,"exosome component 8",1.59025126170995,3.25913754901282e-286,0.526637955959935,1.31836579028719e-06
"133","ENSG00000138035","PNPT1",87178,"polyribonucleotide nucleotidyltransferase 1",2.35008608564884,1.64119702165865e-285,2.2031663508627,1.43229553532391e-104
"134","ENSG00000006652","IFRD1",3475,"interferon related developmental regulator 1",1.56096186491912,3.08485443046003e-285,3.03634791926833,1.83624879671583e-240
"135","ENSG00000123933","MXD4",10608,"MAX dimerization protein 4",-2.30820785369726,9.2708767996885e-284,-0.654225313128466,6.23722553875015e-08
"136","ENSG00000141682","PMAIP1",5366,"phorbol-12-myristate-13-acetate-induced protein 1",2.87872666856424,1.96907281665181e-282,2.6365685388792,9.81013340253303e-147
"137","ENSG00000172183","ISG20",3669,"interferon stimulated exonuclease gene 20",6.52970838285076,2.91441148241684e-282,3.84291282018392,2.674101932035e-217
"138","ENSG00000240184","PCDHGC3",5098,"protocadherin gamma subfamily C, 3",-2.68297179350171,2.29762806804913e-281,-1.82312766336969,2.11312916981164e-59
"139","ENSG00000065060","BLTP3A",54887,"bridge-like lipid transfer protein family member 3A",1.66018910906654,3.43742405256883e-281,1.72934133206055,1.33330453684446e-122
"140","ENSG00000172893","DHCR7",1717,"7-dehydrocholesterol reductase",-2.12635032985065,1.50450754994745e-279,-1.69290461292647,8.05563703123537e-50
"141","ENSG00000156508","EEF1A1",1915,"eukaryotic translation elongation factor 1 alpha 1",-1.54472933930399,1.27191741135481e-277,-0.707360911820842,4.93097564870453e-17
"142","ENSG00000272325","NUDT3",11165,"nudix hydrolase 3",-1.6226626883496,1.39871799097503e-277,-0.741039473073939,1.08667452430227e-08
"143","ENSG00000164951","PDP1",54704,"pyruvate dehydrogenase phosphatase catalytic subunit 1",1.76373105491188,1.62102418439496e-277,2.00751769501333,2.31411374938087e-99
"144","ENSG00000164284","GRPEL2",134266,"GrpE like 2, mitochondrial",1.64914482087669,5.85768924653918e-277,1.6779226680062,1.32539604560819e-53
"145","ENSG00000116584","ARHGEF2",9181,"Rho/Rac guanine nucleotide exchange factor 2",1.97191574618062,9.78610142686713e-271,1.24896883158484,2.02307788342509e-35
"146","ENSG00000137285","TUBB2B",347733,"tubulin beta 2B class IIb",-1.2594985610124,6.41608752672293e-270,-1.61546968170534,8.27814688205962e-42
"147","ENSG00000075618","FSCN1",6624,"fascin actin-bundling protein 1",-2.30187354924045,1.74441676175056e-269,-2.14864194115312,5.34229676441967e-93
"148","ENSG00000104408","EIF3E",3646,"eukaryotic translation initiation factor 3 subunit E",-1.72286592844575,2.75692306707817e-269,-1.5636622081038,1.38178348634111e-59
"149","ENSG00000109917","ZPR1",8882,"ZPR1 zinc finger",1.06534402840638,6.71488739302985e-269,1.84455498069602,7.2220299934556e-105
"150","ENSG00000197043","ANXA6",309,"annexin A6",-1.52166367180309,1.78053701370349e-267,-1.09145393650731,1.17244403311273e-23
"151","ENSG00000132382","MYBBP1A",10514,"MYB binding protein 1a",1.12536170339003,2.69798495741969e-267,1.16097852325232,3.25197278854751e-70
"152","ENSG00000134684","YARS1",8565,"tyrosyl-tRNA synthetase 1",1.25156332141642,3.20261420856591e-265,2.86716281790359,0
"153","ENSG00000077097","TOP2B",7155,"DNA topoisomerase II beta",-1.02245947305182,2.47315120771427e-263,-0.764681761639212,1.89428459069977e-36
"154","ENSG00000121691","CAT",847,"catalase",-2.44591673462645,7.27486579403302e-263,-2.2466615506925,1.92388283434314e-43
"155","ENSG00000052749","RRP12",23223,"ribosomal RNA processing 12 homolog",1.85159698235269,2.05468883589544e-262,1.57483240268781,3.95862773355662e-77
"156","ENSG00000170275","CRTAP",10491,"cartilage associated protein",-1.64317391813698,1.53446874452234e-261,-0.79277987606685,4.09258174940405e-14
"157","ENSG00000168297","PXK",54899,"PX domain containing serine/threonine kinase like",1.99083248071324,4.9994171542649e-261,1.95924836063997,4.08099439174401e-94
"158","ENSG00000198796","ALPK2",115701,"alpha kinase 2",2.17624900469177,6.17774776406706e-261,1.58474201106414,2.21286570148489e-53
"159","ENSG00000148180","GSN",2934,"gelsolin",-2.24099275679334,1.87581536272048e-260,-1.75570888753703,2.31414693044963e-22
"160","ENSG00000102786","INTS6",26512,"integrator complex subunit 6",1.60651006355315,1.16643002935128e-259,1.02466640918897,2.45982598609506e-42
"161","ENSG00000135318","NT5E",4907,"5'-nucleotidase ecto",2.65657833790232,2.17572330669351e-258,3.37727936312027,3.06702651096903e-154
"162","ENSG00000104081","BMF",90427,"Bcl2 modifying factor",-4.02919112074722,6.11752728029547e-258,-4.28811203426855,8.47140240856879e-50
"163","ENSG00000104980","TIMM44",10469,"translocase of inner mitochondrial membrane 44",1.21639589671665,1.84391590033002e-257,1.71854980701026,2.94215380862048e-110
"164","ENSG00000103485","QPRT",23475,"quinolinate phosphoribosyltransferase",-1.91529052286667,1.30892992900603e-256,-2.87493502860447,6.53377467115489e-50
"165","ENSG00000077150","NFKB2",4791,"nuclear factor kappa B subunit 2",2.85370260529197,1.13690912203631e-254,1.42284470776351,5.45366149720857e-88
"166","ENSG00000173402","DAG1",1605,"dystroglycan 1",-1.25137275646261,5.05990671025512e-254,-1.82382221740298,1.18280390219251e-113
"167","ENSG00000108509","CAMTA2",23125,"calmodulin binding transcription activator 2",1.8797858731547,1.33431341632326e-253,1.19841439490079,1.99003986811977e-50
"168","ENSG00000137817","PARP6",56965,"poly(ADP-ribose) polymerase family member 6",1.94297857441067,2.47611411404897e-253,1.4520529502216,2.51508626266366e-41
"169","ENSG00000106785","TRIM14",9830,"tripartite motif containing 14",1.96021047480511,2.23799662863434e-252,1.5869867327845,4.36259484741617e-25
"170","ENSG00000137200","CMTR1",23070,"cap methyltransferase 1",1.19783278104568,6.33735644865195e-251,0.936824873338682,1.40125901146079e-22
"171","ENSG00000142541","RPL13A",23521,"ribosomal protein L13a",-1.317912242825,1.27080923562016e-250,-0.856605468438746,3.79304859512361e-25
"172","ENSG00000055332","EIF2AK2",5610,"eukaryotic translation initiation factor 2 alpha kinase 2",1.83648731666708,1.97598454652103e-248,2.22779347873082,4.49783994831334e-173
"173","ENSG00000183696","UPP1",7378,"uridine phosphorylase 1",1.7902784458214,2.17573764445593e-247,2.21376587474211,1.65105559500514e-57
"174","ENSG00000111981","ULBP1",80329,"UL16 binding protein 1",2.15422131514795,2.91438328497082e-244,2.00866327354363,3.11865720487776e-46
"175","ENSG00000066735","KIF26A",26153,"kinesin family member 26A",-3.12003280221791,8.00360796191207e-244,-1.16714233162998,4.4635911011906e-23
"176","ENSG00000163041","H3-3A",3020,"H3.3 histone A",-1.39201348930298,1.2770326676279e-243,-1.87930708948593,5.57913003670163e-99
"177","ENSG00000128050","PAICS",10606,"phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase",-1.10545000086685,2.42933326410374e-243,-0.708305083650078,7.81905427402992e-22
"178","ENSG00000149273","RPS3",6188,"ribosomal protein S3",-1.49058733425357,2.47668065573294e-243,-0.937980461274758,5.43212056262697e-22
"179","ENSG00000108179","PPIF",10105,"peptidylprolyl isomerase F",1.6170066619858,3.24284508158819e-243,2.13456791681636,6.71832375031946e-67
"180","ENSG00000167962","ZNF598",90850,"zinc finger protein 598, E3 ubiquitin ligase",1.42854612404503,3.57250077931719e-243,0.716170717484936,2.26056758860075e-29
"181","ENSG00000159131","GART",2618,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",0.912422104291882,1.70503117325783e-242,1.00852210525845,3.6012798616643e-79
"182","ENSG00000136826","KLF4",9314,"KLF transcription factor 4",5.26046490156621,1.96690407643333e-241,3.58693807471815,1.39801284811866e-242
"183","ENSG00000156639","ZFAND3",60685,"zinc finger AN1-type containing 3",1.23694247291739,7.39550467479343e-240,1.01774392855781,9.58566637204845e-34
"184","ENSG00000113328","CCNG1",900,"cyclin G1",-1.92933815988379,1.16051844417283e-239,-1.48303153845006,4.6155393721141e-63
"185","ENSG00000111144","LTA4H",4048,"leukotriene A4 hydrolase",-2.17003135087605,4.87357097133346e-239,-2.23306075282915,2.78231918682951e-146
"186","ENSG00000102054","RBBP7",5931,"RB binding protein 7, chromatin remodeling factor",-1.3370640308321,1.1175280986848e-238,-2.1108753778371,1.54439306454023e-110
"187","ENSG00000115963","RND3",390,"Rho family GTPase 3",2.43315408126613,4.69763365009569e-237,6.09100755549061,0
"188","ENSG00000118181","RPS25",6230,"ribosomal protein S25",-1.66872400965844,7.12604268369576e-237,-0.772129005570076,6.96178973048627e-13
"189","ENSG00000205413","SAMD9",54809,"sterile alpha motif domain containing 9",3.06700597995439,2.62085676567418e-235,4.71479673377086,5.53456822606769e-92
"190","ENSG00000185022","MAFF",23764,"MAF bZIP transcription factor F",3.31029881198398,2.96111850576188e-235,4.25473436176764,0
"191","ENSG00000121060","TRIM25",7706,"tripartite motif containing 25",2.17844675111704,3.12922504179991e-235,3.29864958781281,0
"192","ENSG00000198467","TPM2",7169,"tropomyosin 2",-1.30131705618395,2.07960521356607e-234,-0.903360354123482,4.79021408057998e-26
"193","ENSG00000198959","TGM2",7052,"transglutaminase 2",1.95895372243871,3.14113343940715e-234,7.39285590615103,1.3251306420005e-67
"194","ENSG00000213626","LBH",81606,"LBH regulator of WNT signaling pathway",-3.58187945075923,2.04940764900255e-233,-0.675555051792502,3.25372898757644e-21
"195","ENSG00000163931","TKT",7086,"transketolase",-1.38484574778715,2.89578882867437e-233,-1.00765540119525,4.43619297885609e-53
"196","ENSG00000144895","EIF2A",83939,"eukaryotic translation initiation factor 2A",-1.46868773457157,9.5251814819141e-233,-1.31745446495161,3.66564068880985e-72
"197","ENSG00000128283","CDC42EP1",11135,"CDC42 effector protein 1",1.42901404665409,2.50532426916384e-232,1.49225848112594,2.43684791926426e-51
"198","ENSG00000164307","ERAP1",51752,"endoplasmic reticulum aminopeptidase 1",1.40241494832477,3.5335841740848e-232,2.6794626634921,0
"199","ENSG00000168394","TAP1",6890,"transporter 1, ATP binding cassette subfamily B member",5.15834555470249,1.56933943852387e-231,5.36880714833963,0
"200","ENSG00000110721","CHKA",1119,"choline kinase alpha",-1.20684597084599,1.69468873271279e-228,-0.357305766915445,0.00820477717676996
"201","ENSG00000087460","GNAS",2778,"GNAS complex locus",-0.684115143923313,1.79300022795106e-228,-0.615172491819729,4.65959164843198e-17
"202","ENSG00000178252","WDR6",11180,"WD repeat domain 6",-1.14862560387843,3.71981697057932e-228,-1.29587897491866,5.00344632705998e-31
"203","ENSG00000131203","IDO1",3620,"indoleamine 2,3-dioxygenase 1",7.57653230697491,2.11223919322932e-225,9.17612310878773,0
