,gene_id,gene_symbol,gene_entrez,gene_desc,hos_log2FC,hos_padj,hos_rank,os17_log2FC,os17_padj,os17_rank,rank_sum,gene_rank
50,ENSG00000126709,IFI6,2537,interferon alpha inducible protein 6,5.466815229,0,1,5.200442745,2.88E-190,54,55,54
94,ENSG00000166710,B2M,567,beta-2-microglobulin,2.313198796,0,1,2.515241971,5.09E-190,55,56,55
40,ENSG00000116717,GADD45A,1647,growth arrest and DNA damage inducible alpha,3.284578922,0,1,1.668561146,1.22E-188,57,58,56
79,ENSG00000151012,SLC7A11,23657,solute carrier family 7 member 11,1.97916397,0,1,4.993416288,1.67E-187,58,59,57
187,ENSG00000115963,RND3,390,Rho family GTPase 3,2.433154081,4.70E-237,68,6.091007555,0,1,69,58
41,ENSG00000116761,CTH,1491,cystathionine gamma-lyase,3.20479604,0,1,3.952213363,8.06E-175,68,69,59
190,ENSG00000185022,MAFF,23764,MAF bZIP transcription factor F,3.310298812,2.96E-235,71,4.254734362,0,1,72,60
191,ENSG00000121060,TRIM25,7706,tripartite motif containing 25,2.178446751,3.13E-235,72,3.298649588,0,1,73,61
88,ENSG00000162645,GBP2,2634,guanylate binding protein 2,3.414348203,0,1,3.669216439,6.42E-173,72,73,62
126,ENSG00000123240,OPTN,10133,optineurin,1.594148093,1.37E-290,7,1.852345968,2.56E-173,70,77,63
198,ENSG00000164307,ERAP1,51752,endoplasmic reticulum aminopeptidase 1,1.402414948,3.53E-232,79,2.679462663,0,1,80,64
199,ENSG00000168394,TAP1,6890,"transporter 1, ATP binding cassette subfamily B member",5.158345555,1.57E-231,80,5.368807148,0,1,81,65
8,ENSG00000065911,MTHFD2,10797,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",1.316334238,0,1,2.209901096,1.76E-166,81,82,66
203,ENSG00000131203,IDO1,3620,"indoleamine 2,3-dioxygenase 1",7.576532307,2.11E-225,84,9.176123109,0,1,85,67
205,ENSG00000168062,BATF2,116071,basic leucine zipper ATF-like transcription factor 2,5.952561286,1.20E-222,86,5.63258253,0,1,87,68
182,ENSG00000136826,KLF4,9314,KLF transcription factor 4,5.260464902,1.97E-241,63,3.586938075,1.40E-242,25,88,69
25,ENSG00000107201,RIGI,23586,RNA sensor RIG-I,5.44567027,0,1,5.823463,2.06E-158,89,90,70
117,ENSG00000198380,GFPT1,2673,glutamine--fructose-6-phosphate transaminase 1,1.524484711,0,1,2.382297694,2.18E-158,90,91,71
209,ENSG00000163347,CLDN1,9076,claudin 1,3.43272041,2.24E-220,90,8.487123091,8.19E-301,2,92,72
45,ENSG00000122406,RPL5,6125,ribosomal protein L5,-1.953025548,0,1,-1.773112345,1.07E-149,101,102,73
85,ENSG00000160710,ADAR,103,adenosine deaminase RNA specific,1.570862268,0,1,1.806883345,3.05E-149,102,103,74
112,ENSG00000187840,EIF4EBP1,1978,eukaryotic translation initiation factor 4E binding protein 1,1.582814354,0,1,2.064808035,5.66E-147,107,108,75
233,ENSG00000130513,GDF15,9518,growth differentiation factor 15,4.281621478,3.98E-201,114,6.069305673,0,1,115,76
2,ENSG00000006327,TNFRSF12A,51330,TNF receptor superfamily member 12A,2.154014788,0,1,1.747561849,1.90E-139,117,118,77
111,ENSG00000187608,ISG15,9636,ISG15 ubiquitin like modifier,6.533099707,0,1,4.944644453,2.43E-136,122,123,78
172,ENSG00000055332,EIF2AK2,5610,eukaryotic translation initiation factor 2 alpha kinase 2,1.836487317,1.98E-248,53,2.227793479,4.50E-173,71,124,79
136,ENSG00000141682,PMAIP1,5366,phorbol-12-myristate-13-acetate-induced protein 1,2.878726669,1.97E-282,17,2.636568539,9.81E-147,108,125,80
217,ENSG00000132688,NES,10763,nestin,-2.484772472,9.52E-211,98,-3.10846315,2.17E-240,29,127,81
86,ENSG00000161091,MFSD12,126321,major facilitator superfamily domain containing 12,1.565385633,0,1,1.752216851,4.91E-130,134,135,82
161,ENSG00000135318,NT5E,4907,5'-nucleotidase ecto,2.656578338,2.18E-258,42,3.377279363,3.07E-154,94,136,83
20,ENSG00000101347,SAMHD1,25939,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,3.744738725,0,1,3.401856311,6.02E-128,136,137,84
26,ENSG00000108468,CBX1,10951,chromobox 1,-1.383138832,0,1,-1.923010119,1.70E-125,139,140,85
253,ENSG00000133026,MYH10,4628,myosin heavy chain 10,-1.329861234,4.19E-190,134,-2.062302119,8.51E-282,10,144,86
244,ENSG00000163131,CTSS,1520,cathepsin S,6.365885054,9.77E-195,125,4.037242384,4.11E-256,19,144,87
213,ENSG00000175592,FOSL1,8061,"FOS like 1, AP-1 transcription factor subunit",2.646861165,6.59E-216,94,2.062893233,2.52E-189,56,150,88
235,ENSG00000265972,TXNIP,10628,thioredoxin interacting protein,0.982197229,8.42E-200,116,1.863555059,1.11E-216,35,151,89
10,ENSG00000068323,TFE3,7030,transcription factor binding to IGHM enhancer 3,1.150549127,0,1,1.304321304,1.90E-120,152,153,90
62,ENSG00000134352,IL6ST,3572,interleukin 6 cytokine family signal transducer,1.464249794,0,1,1.839287677,4.86E-118,157,158,91
280,ENSG00000117226,GBP3,2635,guanylate binding protein 3,2.439381294,7.10E-178,161,5.746684803,0,1,162,92
139,ENSG00000065060,BLTP3A,54887,bridge-like lipid transfer protein family member 3A,1.660189109,3.44E-281,20,1.729341332,1.33E-122,148,168,93
185,ENSG00000111144,LTA4H,4048,leukotriene A4 hydrolase,-2.170031351,4.87E-239,66,-2.233060753,2.78E-146,110,176,94
12,ENSG00000073008,PVR,5817,PVR cell adhesion molecule,1.668709525,0,1,2.281008387,9.29E-108,186,187,95
18,ENSG00000100889,PCK2,5106,"phosphoenolpyruvate carboxykinase 2, mitochondrial",2.421695322,0,1,2.023818832,4.47E-106,191,192,96
275,ENSG00000189403,HMGB1,3146,high mobility group box 1,-1.136802474,3.99E-180,156,-2.12145222,8.91E-213,37,193,97
22,ENSG00000105281,SLC1A5,6510,solute carrier family 1 member 5,1.808310742,0,1,1.977528399,3.51E-105,193,194,98
224,ENSG00000096968,JAK2,3717,Janus kinase 2,2.829375577,3.38E-205,105,3.603139779,1.05E-156,92,197,99
39,ENSG00000116133,DHCR24,1718,24-dehydrocholesterol reductase,-2.323377078,0,1,-2.730270017,1.07E-104,197,198,100
234,ENSG00000048052,HDAC9,9734,histone deacetylase 9,2.760477433,1.20E-200,115,2.286236398,5.85E-162,84,199,101
16,ENSG00000100129,EIF3L,51386,eukaryotic translation initiation factor 3 subunit L,-1.54245266,0,1,-1.932323607,2.57E-101,205,206,102
268,ENSG00000135486,HNRNPA1,3178,heterogeneous nuclear ribonucleoprotein A1,-1.68888834,5.63E-182,149,-2.275852381,1.48E-184,61,210,103
215,ENSG00000104635,SLC39A14,23516,solute carrier family 39 member 14,1.150366783,3.48E-212,96,1.357072053,7.15E-140,115,211,104
133,ENSG00000138035,PNPT1,87178,polyribonucleotide nucleotidyltransferase 1,2.350086086,1.64E-285,14,2.203166351,1.43E-104,198,212,105
286,ENSG00000177542,SLC25A22,79751,solute carrier family 25 member 22,1.705259523,1.04E-174,167,2.130978758,2.86E-196,50,217,106
316,ENSG00000171132,PRKCE,5581,protein kinase C epsilon,1.616354387,3.71E-165,197,3.523394838,1.02E-243,24,221,107
166,ENSG00000173402,DAG1,1605,dystroglycan 1,-1.251372756,5.06E-254,47,-1.823822217,1.18E-113,174,221,108
76,ENSG00000145623,OSMR,9180,oncostatin M receptor,2.41662969,0,1,2.09728566,8.82E-98,222,223,109
237,ENSG00000103257,SLC7A5,8140,solute carrier family 7 member 5,0.718558473,2.22E-198,118,2.136034931,4.37E-147,106,224,110
163,ENSG00000104980,TIMM44,10469,translocase of inner mitochondrial membrane 44,1.216395897,1.84E-257,44,1.718549807,2.94E-110,182,226,111
149,ENSG00000109917,ZPR1,8882,ZPR1 zinc finger,1.065344028,6.71E-269,30,1.844554981,7.22E-105,196,226,112
143,ENSG00000164951,PDP1,54704,pyruvate dehydrogenase phosphatase catalytic subunit 1,1.763731055,1.62E-277,24,2.007517695,2.31E-99,212,236,113
186,ENSG00000102054,RBBP7,5931,"RB binding protein 7, chromatin remodeling factor",-1.337064031,1.12E-238,67,-2.110875378,1.54E-110,181,248,114
368,ENSG00000120217,CD274,29126,CD274 molecule,2.690807412,1.12E-147,249,6.95118916,0,1,250,115
61,ENSG00000134247,PTGFRN,5738,prostaglandin F2 receptor inhibitor,-1.924131452,0,1,-1.367132719,3.44E-89,250,251,116
31,ENSG00000112715,VEGFA,7422,vascular endothelial growth factor A,1.752353831,0,1,1.882673944,2.29E-88,251,252,117
236,ENSG00000242265,PEG10,23089,paternally expressed 10,-1.897333808,3.32E-199,117,-2.171272688,3.65E-125,141,258,118
68,ENSG00000137628,DDX60,55601,DExD/H-box helicase 60,4.841607422,0,1,1.908170753,1.31E-86,261,262,119
32,ENSG00000112972,HMGCS1,3157,3-hydroxy-3-methylglutaryl-CoA synthase 1,-2.723161546,0,1,-2.553691294,5.16E-86,262,263,120
228,ENSG00000169957,ZNF768,79724,zinc finger protein 768,1.761430117,8.71E-205,109,1.59661307,1.65E-119,155,264,121
299,ENSG00000116016,EPAS1,2034,endothelial PAS domain protein 1,1.040429216,6.99E-171,180,2.029366111,6.63E-162,85,265,122
281,ENSG00000205220,PSMB10,5699,proteasome 20S subunit beta 10,2.996962824,1.17E-177,162,4.687414686,4.37E-149,103,265,123
80,ENSG00000152778,IFIT5,24138,interferon induced protein with tetratricopeptide repeats 5,2.535812136,0,1,2.259324893,1.87E-85,264,265,124
95,ENSG00000166741,NNMT,4837,nicotinamide N-methyltransferase,1.940449217,0,1,2.06374299,2.02E-85,265,266,125
147,ENSG00000075618,FSCN1,6624,fascin actin-bundling protein 1,-2.301873549,1.74E-269,28,-2.148641941,5.34E-93,240,268,126
157,ENSG00000168297,PXK,54899,PX domain containing serine/threonine kinase like,1.990832481,5.00E-261,38,1.959248361,4.08E-94,232,270,127
110,ENSG00000186141,POLR3C,10623,RNA polymerase III subunit C,1.585580882,0,1,1.760243482,6.75E-85,269,270,128
176,ENSG00000163041,H3-3A,3020,H3.3 histone A,-1.392013489,1.28E-243,57,-1.879307089,5.58E-99,214,271,129
256,ENSG00000187735,TCEA1,6917,transcription elongation factor A1,0.977895838,1.58E-187,137,1.826058026,2.11E-125,140,277,130
87,ENSG00000162521,RBBP4,5928,"RB binding protein 4, chromatin remodeling factor",-1.545065087,0,1,-1.858415916,1.80E-83,278,279,131
64,ENSG00000135114,OASL,8638,2'-5'-oligoadenylate synthetase like,6.508751313,0,1,4.387243776,2.36E-83,279,280,132
361,ENSG00000142627,EPHA2,1969,EPH receptor A2,1.304031472,1.26E-149,242,3.506766391,4.00E-203,44,286,133
349,ENSG00000104312,RIPK2,8767,receptor interacting serine/threonine kinase 2,2.186671695,2.89E-153,230,3.550981046,1.21E-185,59,289,134
332,ENSG00000155363,MOV10,4343,Mov10 RISC complex RNA helicase,1.080931104,4.84E-160,213,1.635699547,4.00E-165,82,295,135
229,ENSG00000140511,HAPLN3,145864,hyaluronan and proteoglycan link protein 3,5.335050575,1.35E-202,110,2.070651152,1.19E-107,188,298,136
165,ENSG00000077150,NFKB2,4791,nuclear factor kappa B subunit 2,2.853702605,1.14E-254,46,1.422844708,5.45E-88,255,301,137
114,ENSG00000189060,H1-0,3005,H1.0 linker histone,2.628785634,0,1,1.626196374,4.56E-79,303,304,138
15,ENSG00000099194,SCD,6319,stearoyl-CoA desaturase,-1.470816088,0,1,-1.540473616,1.06E-78,305,306,139
189,ENSG00000205413,SAMD9,54809,sterile alpha motif domain containing 9,3.06700598,2.62E-235,70,4.714796734,5.53E-92,241,311,140
315,ENSG00000185950,IRS2,8660,insulin receptor substrate 2,1.446700202,1.86E-165,196,1.715853439,1.55E-136,121,317,141
107,ENSG00000184979,USP18,11274,ubiquitin specific peptidase 18,4.810853319,0,1,2.902490399,1.41E-77,316,317,142
90,ENSG00000162734,PEA15,8682,proliferation and apoptosis adaptor protein 15,1.739257023,0,1,1.566025838,2.45E-77,318,319,143
331,ENSG00000108797,CNTNAP1,8506,contactin associated protein 1,1.951950125,2.11E-160,212,1.844466405,2.63E-146,109,321,144
265,ENSG00000139926,FRMD6,122786,FERM domain containing 6,0.743210754,8.64E-183,146,1.360116874,1.74E-111,179,325,145
78,ENSG00000149716,LTO1,220064,LTO1 maturation factor of ABCE1,2.28188091,0,1,2.122129271,4.44E-75,335,336,146
57,ENSG00000131389,SLC6A6,6533,solute carrier family 6 member 6,-2.113785136,0,1,-1.159125221,7.05E-75,336,337,147
14,ENSG00000094916,CBX5,23468,chromobox 5,-1.633196737,0,1,-1.724034826,1.41E-74,340,341,148
463,ENSG00000159200,RCAN1,1827,regulator of calcineurin 1,1.51090618,8.16E-125,344,3.039564423,0,1,345,149
381,ENSG00000106366,SERPINE1,5054,serpin family E member 1,2.337069986,7.42E-144,262,2.08435323,9.77E-160,88,350,150
7,ENSG00000063046,EIF4B,1975,eukaryotic translation initiation factor 4B,-2.139234894,0,1,-1.971566572,2.62E-73,349,350,151
226,ENSG00000183431,SF3A3,10946,splicing factor 3a subunit 3,-1.354801863,5.72E-205,107,-1.690055975,2.72E-90,245,352,152
373,ENSG00000102554,KLF5,688,KLF transcription factor 5,1.430353276,1.02E-146,254,2.106319391,3.31E-150,100,354,153
323,ENSG00000054965,FAM168A,23201,family with sequence similarity 168 member A,-1.451729525,2.84E-163,204,-1.681493765,2.58E-121,150,354,154
369,ENSG00000063660,GPC1,2817,glypican 1,-1.861632069,2.74E-147,250,-5.653612435,1.35E-147,105,355,155
155,ENSG00000052749,RRP12,23223,ribosomal RNA processing 12 homolog,1.851596982,2.05E-262,36,1.574832403,3.96E-77,319,355,156
181,ENSG00000159131,GART,2618,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase",0.912422104,1.71E-242,62,1.008522105,3.60E-79,302,364,157
99,ENSG00000170581,STAT2,6773,signal transducer and activator of transcription 2,3.090363024,0,1,2.184685416,5.85E-71,369,370,158
29,ENSG00000109084,TMEM97,27346,transmembrane protein 97,-2.377813862,0,1,-2.031267911,3.18E-70,373,374,159
310,ENSG00000148843,PDCD11,22984,programmed cell death 11,1.281330299,8.31E-167,191,1.325749103,2.24E-107,189,380,160
411,ENSG00000091527,CDV3,55573,CDV3 homolog,0.646869325,1.15E-134,292,1.105147893,3.30E-158,91,383,161
355,ENSG00000148841,ITPRIP,85450,"inositol 1,4,5-trisphosphate receptor interacting protein",1.349996279,3.76E-151,236,3.457514011,5.86E-122,149,385,162
44,ENSG00000119922,IFIT2,3433,interferon induced protein with tetratricopeptide repeats 2,6.374332055,0,1,4.449900022,3.35E-68,386,387,163
124,ENSG00000134333,LDHA,3939,lactate dehydrogenase A,-1.516584744,5.75E-295,5,-1.470989979,9.23E-69,383,388,164
322,ENSG00000064012,CASP8,841,caspase 8,2.063967005,1.21E-163,203,1.789304423,1.18E-107,187,390,165
486,ENSG00000120129,DUSP1,1843,dual specificity phosphatase 1,1.560496607,3.23E-120,367,5.111599236,2.29E-241,26,393,166
109,ENSG00000185745,IFIT1,3434,interferon induced protein with tetratricopeptide repeats 1,5.059343404,0,1,3.108005417,3.85E-67,395,396,167
375,ENSG00000173812,EIF1,10209,eukaryotic translation initiation factor 1,0.677026242,3.61E-146,256,1.554508274,2.19E-123,144,400,168
456,ENSG00000198911,SREBF2,6721,sterol regulatory element binding transcription factor 2,-0.872852967,9.84E-126,337,-1.814609727,7.80E-179,66,403,169
33,ENSG00000113140,SPARC,6678,secreted protein acidic and cysteine rich,-2.808974971,0,1,-2.282515649,1.29E-66,402,403,170
151,ENSG00000132382,MYBBP1A,10514,MYB binding protein 1a,1.125361703,2.70E-267,32,1.160978523,3.25E-70,374,406,171
98,ENSG00000169180,XPO6,23214,exportin 6,1.424969439,0,1,1.499598166,2.26E-66,405,406,172
130,ENSG00000005022,SLC25A5,292,solute carrier family 25 member 5,-1.678699373,2.04E-288,11,-1.661459301,3.86E-67,396,407,173
400,ENSG00000132109,TRIM21,6737,tripartite motif containing 21,2.264087032,4.13E-138,281,2.831599268,4.70E-131,129,410,174
344,ENSG00000104825,NFKBIB,4793,NFKB inhibitor beta,1.696913959,1.03E-155,225,1.798132838,5.10E-107,190,415,175
339,ENSG00000155438,NIFK,84365,nucleolar protein interacting with the FHA domain of MKI67,1.467325074,6.73E-158,220,2.04490925,2.50E-104,199,419,176
386,ENSG00000115946,PNO1,56902,partner of NOB1 homolog,1.610143184,4.19E-142,267,2.002790802,2.76E-117,159,426,177
196,ENSG00000144895,EIF2A,83939,eukaryotic translation initiation factor 2A,-1.468687735,9.53E-233,77,-1.317454465,3.67E-72,361,438,178
520,ENSG00000143256,PFDN2,5202,prefoldin subunit 2,0.903734304,2.08E-114,401,1.865108774,9.59E-203,45,446,179
408,ENSG00000067064,IDI1,3422,isopentenyl-diphosphate delta isomerase 1,-1.925612057,6.00E-135,289,-2.741448415,1.38E-116,160,449,180
392,ENSG00000148339,SLC25A25,114789,solute carrier family 25 member 25,1.481922201,2.28E-140,273,1.806557079,1.73E-111,178,451,181
238,ENSG00000179041,RRS1,23212,ribosome biogenesis regulator 1 homolog,1.602076192,4.43E-198,119,1.470198306,7.27E-75,337,456,182
179,ENSG00000108179,PPIF,10105,peptidylprolyl isomerase F,1.617006662,3.24E-243,60,2.134567917,6.72E-67,399,459,183
193,ENSG00000198959,TGM2,7052,transglutaminase 2,1.958953722,3.14E-234,74,7.392855906,1.33E-67,388,462,184
584,ENSG00000169136,ATF5,22809,activating transcription factor 5,1.729346962,7.09E-105,465,3.937307366,0,1,466,185
204,ENSG00000143641,GALNT2,2590,polypeptide N-acetylgalactosaminyltransferase 2,-0.851477444,5.45E-224,85,-1.362666089,1.08E-68,384,469,186
260,ENSG00000162377,COA7,65260,cytochrome c oxidase assembly factor 7,1.165905465,2.20E-185,141,0.961254016,3.97E-75,334,475,187
581,ENSG00000113013,HSPA9,3313,heat shock protein family A (Hsp70) member 9,1.07996125,4.35E-105,462,1.876399018,2.95E-263,16,478,188
138,ENSG00000240184,PCDHGC3,5098,"protocadherin gamma subfamily C, 3",-2.682971794,2.30E-281,19,-1.823127663,2.11E-59,460,479,189
506,ENSG00000123080,CDKN2C,1031,cyclin dependent kinase inhibitor 2C,-2.418633157,3.85E-117,387,-3.486602751,4.28E-152,96,483,190
557,ENSG00000050405,LIMA1,51474,LIM domain and actin binding 1,0.928755267,1.38E-108,438,2.218301527,4.22E-198,48,486,191
346,ENSG00000166197,NOLC1,9221,nucleolar and coiled-body phosphoprotein 1,1.015526691,2.67E-155,227,0.765032461,7.29E-87,260,487,192
148,ENSG00000104408,EIF3E,3646,eukaryotic translation initiation factor 3 subunit E,-1.722865928,2.76E-269,29,-1.563662208,1.38E-59,459,488,193
484,ENSG00000176393,RNPEP,6051,arginyl aminopeptidase,-1.734355823,2.13E-120,365,-2.220515737,3.98E-135,124,489,194
362,ENSG00000186432,KPNA4,3840,karyopherin subunit alpha 4,1.033223114,4.57E-149,243,1.268991248,2.51E-89,247,490,195
340,ENSG00000004487,KDM1A,23028,lysine demethylase 1A,-0.867959954,9.72E-158,221,-1.073312473,7.02E-85,270,491,196
184,ENSG00000113328,CCNG1,900,cyclin G1,-1.92933816,1.16E-239,65,-1.483031538,4.62E-63,433,498,197
487,ENSG00000100336,APOL4,80832,apolipoprotein L4,3.446753976,3.39E-120,368,4.683574013,1.24E-130,132,500,198
553,ENSG00000137142,IGFBPL1,347252,insulin like growth factor binding protein like 1,-1.896084031,6.33E-109,434,-3.072628245,3.46E-175,67,501,199
118,ENSG00000204628,RACK1,10399,receptor for activated C kinase 1,-1.293310582,0,1,-1.105176991,3.82E-55,514,515,200
637,ENSG00000168685,IL7R,3575,interleukin 7 receptor,2.378580499,1.63E-97,518,4.383553773,0,1,519,201
210,ENSG00000166123,GPT2,84706,glutamic--pyruvic transaminase 2,1.641468052,6.97E-219,91,1.127332408,1.36E-63,428,519,202
618,ENSG00000143067,ZNF697,90874,zinc finger protein 697,1.788521033,6.84E-100,499,2.422781476,5.57E-241,27,526,203
465,ENSG00000135930,EIF4E2,9470,eukaryotic translation initiation factor 4E family member 2,-0.937781751,1.71E-124,346,-1.449597477,8.38E-108,185,531,204
173,ENSG00000183696,UPP1,7378,uridine phosphorylase 1,1.790278446,2.18E-247,54,2.213765875,1.65E-57,478,532,205
629,ENSG00000135842,NIBAN1,116496,niban apoptosis regulator 1,0.843964009,1.50E-98,510,2.78435572,3.89E-215,36,546,206
308,ENSG00000089220,PEBP1,5037,phosphatidylethanolamine binding protein 1,-1.6492254,1.77E-167,189,-1.350887431,1.54E-72,358,547,207
472,ENSG00000117632,STMN1,3925,stathmin 1,-1.258344012,1.26E-122,353,-1.402649833,7.11E-105,195,548,208
97,ENSG00000167658,EEF2,1938,eukaryotic translation elongation factor 2,-1.792119261,0,1,-1.192405251,8.72E-53,547,548,209
672,ENSG00000196954,CASP4,837,caspase 4,1.742245617,1.10E-92,553,4.195186911,0,1,554,210
252,ENSG00000120685,PROSER1,80209,proline and serine rich 1,1.265200424,3.93E-190,133,1.077570427,4.28E-64,424,557,211
