"gene_symbol","gene_rank","gene_desc","hos_log2FC","hos_padj","os17_log2FC","os17_padj"
"PXK",127,"PX domain containing serine/threonine kinase like",1.990832481,5e-261,1.959248361,4.08e-94
"EPHA2",133,"EPH receptor A2",1.304031472,1.26e-149,3.506766391,4e-203
"RIPK2",134,"receptor interacting serine/threonine kinase 2",2.186671695,2.89e-153,3.550981046,1.21e-185
"IRS2",141,"insulin receptor substrate 2",1.446700202,1.86e-165,1.715853439,1.55e-136
"CNTNAP1",144,"contactin associated protein 1",1.951950125,2.11e-160,1.844466405,2.63e-146
"FRMD6",145,"FERM domain containing 6",0.743210754,8.64e-183,1.360116874,1.74e-111
"SLC6A6",147,"solute carrier family 6 member 6",-2.113785136,0,-1.159125221,7.05e-75
"SERPINE1",150,"serpin family E member 1",2.337069986,7.42e-144,2.08435323,9.77e-160
"GPC1",155,"glypican 1",-1.861632069,2.74e-147,-5.653612435,1.35e-147
"RRP12",156,"ribosomal RNA processing 12 homolog",1.851596982,2.05e-262,1.574832403,3.96e-77
"STAT2",158,"signal transducer and activator of transcription 2",3.090363024,0,2.184685416,5.85e-71
"TMEM97",159,"transmembrane protein 97",-2.377813862,0,-2.031267911,3.18e-70
"CDV3",161,"CDV3 homolog",0.646869325,1.15e-134,1.105147893,3.3e-158
"ITPRIP",162,"inositol 1,4,5-trisphosphate receptor interacting protein",1.349996279,3.76e-151,3.457514011,5.86e-122
"CASP8",165,"caspase 8",2.063967005,1.21e-163,1.789304423,1.18e-107
"SPARC",170,"secreted protein acidic and cysteine rich",-2.808974971,0,-2.282515649,1.29e-66
"XPO6",172,"exportin 6",1.424969439,0,1.499598166,2.26e-66
"SLC25A5",173,"solute carrier family 25 member 5",-1.678699373,2.04e-288,-1.661459301,3.86e-67
"TGM2",184,"transglutaminase 2",1.958953722,3.14e-234,7.392855906,1.33e-67
"PCDHGC3",189,"protocadherin gamma subfamily C, 3",-2.682971794,2.3e-281,-1.823127663,2.11e-59
"LIMA1",191,"LIM domain and actin binding 1",0.928755267,1.38e-108,2.218301527,4.22e-198
"RNPEP",194,"arginyl aminopeptidase",-1.734355823,2.13e-120,-2.220515737,3.98e-135
"RACK1",200,"receptor for activated C kinase 1",-1.293310582,0,-1.105176991,3.82e-55
"IL7R",201,"interleukin 7 receptor",2.378580499,1.63e-97,4.383553773,0
"NIBAN1",206,"niban apoptosis regulator 1",0.843964009,1.5e-98,2.78435572,3.89e-215
"EEF2",209,"eukaryotic translation elongation factor 2",-1.792119261,0,-1.192405251,8.72e-53
"CASP4",210,"caspase 4",1.742245617,1.1e-92,4.195186911,0
"FMNL1",212,"formin like 1",2.381422333,7.74e-176,1.35386058,5.67e-67
"EPB41L1",216,"erythrocyte membrane protein band 4.1 like 1",-1.77367502,6.19e-125,-1.562956402,2.27e-96
"AMOTL2",217,"angiomotin like 2",0.801079648,3.35e-138,1.901011027,5.91e-82
"ALPK2",219,"alpha kinase 2",2.176249005,6.18e-261,1.584742011,2.21e-53
"SDE2",221,"SDE2 telomere maintenance homolog",1.324774641,8.21e-113,1.897147949,1.66e-115
"CDON",222,"cell adhesion associated, oncogene regulated",-3.664932218,7.54e-149,-2.343160242,1.28e-74
"SLC30A1",226,"solute carrier family 30 member 1",1.59904392,7.26e-187,1.71177087,4.52e-59
"RNF114",235,"ring finger protein 114",1.696098006,2.2e-301,1.56656009,6.14e-48
"IL4I1",238,"interleukin 4 induced 1",5.065008952,3.44e-120,5.750498452,3.22e-85
"MRAS",240,"muscle RAS oncogene homolog",1.480227624,1.42e-145,1.450813288,1.79e-69
"BMF",243,"Bcl2 modifying factor",-4.029191121,6.12e-258,-4.288112034,8.47e-50
"CDC42EP1",245,"CDC42 effector protein 1",1.429014047,2.51e-232,1.492258481,2.44e-51
"ETV6",249,"ETS variant transcription factor 6",1.27665177,1.41e-109,1.968499856,2.78e-97
"DDX3X",251,"DEAD-box helicase 3 X-linked",0.677524104,1.21e-197,0.999582578,2.56e-53
"SPRY4",257,"sprouty RTK signaling antagonist 4",3.08344224,2.63e-92,5.377956165,1.33e-139
"GOLM1",262,"golgi membrane protein 1",1.102974617,6.89e-84,1.982745511,4.23e-200
"ULBP1",266,"UL16 binding protein 1",2.154221315,2.91e-244,2.008663274,3.12e-46
"RHBDF2",267,"rhomboid 5 homolog 2",1.75339526,2.42e-80,3.956450917,3.53e-212
"KLC2",272,"kinesin light chain 2",0.873313191,1.02e-192,1.023425604,2.11e-50
"PTOV1",280,"PTOV1 extended AT-hook containing adaptor protein",-1.734081327,4.36e-134,-2.118197284,1.94e-60
"TNFRSF10B",284,"TNF receptor superfamily member 10b",0.861632588,1.24e-74,2.173120963,2.63e-247
"IFITM2",291,"interferon induced transmembrane protein 2",1.604913293,1.02e-190,2.38559367,9.6e-46
"PKD1",292,"polycystin 1, transient receptor potential channel interacting",1.748569293,1.51e-131,1.952015292,5.63e-57
"RAB5B",298,"RAB5B, member RAS oncogene family",-1.707313182,3.81e-205,-1.325037159,2.95e-43
"NRN1",307,"neuritin 1",-1.743514823,1.21e-98,-3.178712641,1.81e-75
"VCL",308,"vinculin",-1.715483424,0,-0.674374358,6.55e-38
"SORT1",316,"sortilin 1",-0.725380669,4.06e-90,-1.99516786,2.05e-79
"RGS16",321,"regulator of G protein signaling 16",3.764040333,5.27e-69,3.363471479,3.33e-174
"GABARAP",324,"GABA type A receptor-associated protein",-1.337775535,4.94e-147,-1.682636081,4.79e-46
"TM9SF2",327,"transmembrane 9 superfamily member 2",-1.212127764,7.39e-290,-0.948588609,9.01e-36
"RAB11A",331,"RAB11A, member RAS oncogene family",-1.371784076,1.58e-132,-1.123614602,7.74e-49
"LGR4",334,"leucine rich repeat containing G protein-coupled receptor 4",-2.483103943,2.68e-126,-2.629098811,2.56e-50
"ARHGEF2",338,"Rho/Rac guanine nucleotide exchange factor 2",1.971915746,9.79e-271,1.248968832,2.02e-35
"CLINT1",340,"clathrin interactor 1",0.626658521,1.48e-83,1.084593355,6.93e-78
"DBN1",341,"drebrin 1",-0.733918727,5.85e-133,-1.120899683,1.29e-46
"KCMF1",351,"potassium channel modulatory factor 1",0.898832493,7.13e-76,1.351342586,1.85e-84
"ADCY7",354,"adenylate cyclase 7",1.217465238,6.49e-72,2.42740816,7.4e-94
"ATP6V1B2",356,"ATPase H+ transporting V1 subunit B2",1.104735708,1.44e-105,1.68191907,1.48e-51
"BTN3A2",364,"butyrophilin subfamily 3 member A2",1.338332641,2.06e-69,2.001786937,4.44e-98
"CALR",367,"calreticulin",-0.994414174,2.7e-122,-1.086535273,9.96e-44
"NOTCH3",373,"notch receptor 3",-3.109802383,2.1e-102,-2.563578523,9.54e-51
"SH2B3",380,"SH2B adaptor protein 3",1.006024709,1.11e-98,1.265899525,1.39e-50
"PAWR",385,"pro-apoptotic WT1 regulator",0.601755285,9.12e-56,1.706127839,2.88e-185
"LRRC8D",387,"leucine rich repeat containing 8 VRAC subunit D",0.638855436,2.66e-55,2.157650221,1.11e-192
"WDR6",388,"WD repeat domain 6",-1.148625604,3.72e-228,-1.295878975,5e-31
"TNFRSF19",390,"TNF receptor superfamily member 19",-4.003090655,6.82e-124,-3.09072431,4.5e-41
"THY1",397,"Thy-1 cell surface antigen",-1.966323901,3.76e-124,-1.283409005,5.75e-40
"AXL",398,"AXL receptor tyrosine kinase",0.757142246,3.77e-115,0.904586929,3.9e-42
"ADORA1",405,"adenosine A1 receptor",-2.516349248,1.27e-50,-4.083899054,0
"SIPA1L1",407,"signal induced proliferation associated 1 like 1",0.656585476,6.17e-74,2.092333785,3.92e-66
"PDCD1LG2",417,"programmed cell death 1 ligand 2",4.967858558,6.49e-156,1.361947476,1.46e-33
"HSPA5",422,"heat shock protein family A (Hsp70) member 5",0.421589409,2.47e-51,2.026954906,2.56e-181
"AJUBA",428,"ajuba LIM protein",1.258394443,2.66e-221,0.693644001,1.39e-28
"ATF4",434,"activating transcription factor 4",0.339185622,5.85e-48,2.109422517,0
"ADAM23",438,"ADAM metallopeptidase domain 23",-1.326040511,4.54e-90,-1.494563959,1.88e-45
"IL4R",440,"interleukin 4 receptor",1.428539059,6.33e-67,1.045607725,2.26e-68
"BIRC2",441,"baculoviral IAP repeat containing 2",0.922377114,7.36e-64,2.062964332,6.93e-76
"CDC42EP4",443,"CDC42 effector protein 4",0.747835055,7.81e-54,2.396314956,1.53e-119
"RAB15",444,"RAB15, member RAS oncogene family",-1.097959133,8.54e-81,-2.918002904,2.08e-50
"GYPC",448,"glycophorin C (Gerbich blood group)",0.906342201,4.72e-82,1.572601374,7.18e-49
"FASN",464,"fatty acid synthase",-1.575733266,2.6e-98,-0.843071433,1.13e-39
"TBCD",477,"tubulin folding cofactor D",-1.01750711,2.11e-63,-1.790652359,1.37e-66
"RAB5A",487,"RAB5A, member RAS oncogene family",0.726430431,2.95e-66,0.989039162,4.5e-57
"CD47",489,"CD47 molecule",2.309040766,1.29e-73,1.601430551,3.74e-50
"BCL10",491,"BCL10 immune signaling adaptor",0.914332823,8.49e-55,1.415226746,1.09e-82
"GM2A",492,"ganglioside GM2 activator",-3.074005851,1.74e-104,-1.525824372,4.67e-36
"PIM1",494,"Pim-1 proto-oncogene, serine/threonine kinase",1.067464391,3.11e-125,1.753625064,3.38e-31
"SLC5A6",495,"solute carrier family 5 member 6",0.941016393,3.37e-63,1.656558516,8.2e-63
"DPYSL2",497,"dihydropyrimidinase like 2",-1.319178358,2.98e-125,-0.946536055,5.59e-31
"ANXA6",501,"annexin A6",-1.521663672,1.78e-267,-1.091453937,1.17e-23
"ADAP1",533,"ArfGAP with dual PH domains 1",2.463791421,1.8e-83,2.597359415,5.53e-39
"GSN",540,"gelsolin",-2.240992757,1.88e-260,-1.755708888,2.31e-22
"PRNP",542,"prion protein",0.437719392,3.75e-42,1.684113346,7.06e-180
"JCAD",543,"junctional cadherin 5 associated",-2.87384043,3.29e-111,-1.100031817,1.19e-30
"DFFA",546,"DNA fragmentation factor subunit alpha",0.759215644,1.04e-71,0.739987191,4.28e-44
"ZDHHC20",550,"zinc finger DHHC-type palmitoyltransferase 20",-0.97183753,5.92e-130,-1.214884887,6.56e-28
"SLC25A3",552,"solute carrier family 25 member 3",-0.851168055,2.36e-94,-0.944177258,3.62e-34
"RPS3",558,"ribosomal protein S3",-1.490587334,2.48e-243,-0.937980461,5.43e-22
"SLC3A2",564,"solute carrier family 3 member 2",1.085438045,2.61e-56,1.583941459,2.06e-58
"CD109",568,"CD109 molecule",-1.414692623,5.03e-121,-1.640303094,9.19e-28
"PDGFC",573,"platelet derived growth factor C",-1.773990877,2.51e-70,-1.222491911,2.85e-42
"GPSM2",578,"G protein signaling modulator 2",-1.005297128,1.86e-51,-1.961263056,2.28e-66
"SPRED3",580,"sprouty related EVH1 domain containing 3",2.6890297,1.1e-40,2.457263746,3.06e-143
"ANK2",581,"ankyrin 2",1.747025411,6.97e-147,0.915085323,1.01e-24
"TENM3",587,"teneurin transmembrane protein 3",-0.883841579,1.83e-121,-1.002958958,9.39e-27
"SEMA6B",589,"semaphorin 6B",-1.503969331,3.2e-48,-3.604104785,9.39e-73
"TMEM132A",591,"transmembrane protein 132A",1.667627342,8.62e-56,1.154331382,2.27e-54
"CRCP",594,"CGRP receptor component",0.889388638,8.94e-89,0.826551104,2.57e-32
"BTN3A3",602,"butyrophilin subfamily 3 member A3",0.865753912,5.61e-40,2.830064503,1.25e-127
"TMEM43",604,"transmembrane protein 43",0.772950351,8.04e-89,0.895726756,3.15e-31
"TMEM119",609,"transmembrane protein 119",-4.181078525,5.77e-198,-2.612478797,2.9e-21
"CAP2",613,"cyclase associated actin cytoskeleton regulatory protein 2",-1.079581307,7.19e-46,-1.63000802,5.24e-74
"MIF",623,"macrophage migration inhibitory factor",-1.135891611,9.43e-117,-1.336346221,2.22e-25
"UBQLN1",626,"ubiquilin 1",0.749540491,2.15e-66,0.695344799,2.91e-39
"SLC9A8",627,"solute carrier family 9 member A8",1.999996477,2.53e-172,1.488411312,2.55e-21
"SPHK1",638,"sphingosine kinase 1",3.003148221,4.08e-108,1.563144672,9.34e-26
"S100A16",644,"S100 calcium binding protein A16",0.787361542,6.21e-101,1.080366854,1.7e-26
"PERP",646,"p53 apoptosis effector related to PMP22",-1.167797116,1.44e-133,-0.754821583,2.37e-22
"C3",649,"complement C3",5.863568045,3.34e-68,5.012859336,2.82e-36
"IL20RB",652,"interleukin 20 receptor subunit beta",3.365763023,1.69e-37,6.453326972,1.52e-114
"TM7SF3",658,"transmembrane 7 superfamily member 3",-1.098146865,1.63e-52,-1.588357742,3.38e-49
"DYSF",669,"dysferlin",-1.533856066,2.24e-56,-1.292333927,4.56e-43
"PHLPP2",670,"PH domain and leucine rich repeat protein phosphatase 2",1.277556252,1.93e-60,1.514557273,3.55e-40
"EIF5",673,"eukaryotic translation initiation factor 5",0.47074119,5.06e-90,0.696218311,3.38e-27
"MARCKSL1",682,"MARCKS like 1",-1.181823575,5.63e-136,-1.019149054,2.12e-21
"ASIC1",683,"acid sensing ion channel subunit 1",-3.179329922,2.85e-97,-2.474861389,9.02e-26
"RASGRP3",691,"RAS guanyl releasing protein 3",2.303357346,1.02e-101,2.221236417,1.06e-24
"DGKE",693,"diacylglycerol kinase epsilon",1.121414118,3.25e-50,1.774045467,1.19e-48
"NUMA1",695,"nuclear mitotic apparatus protein 1",-1.267535472,1.31e-208,-1.169212207,2.13e-18
"SSTR2",697,"somatostatin receptor 2",4.448773786,3.58e-71,2.212515193,8.44e-32
"EEF1A1",707,"eukaryotic translation elongation factor 1 alpha 1",-1.544729339,1.27e-277,-0.707360912,4.93e-17
"RTN2",709,"reticulon 2",-1.715340091,3.92e-70,-2.348586978,1.57e-31
"ASPH",710,"aspartate beta-hydroxylase",-0.849082693,3.56e-130,-0.5817993,3.49e-21
"CAMK2D",717,"calcium/calmodulin dependent protein kinase II delta",1.173547907,2.53e-99,0.783332297,3.13e-24
"ETS2",723,"ETS proto-oncogene 2, transcription factor",0.702557192,3.41e-31,1.826825243,3.58e-192
"B4GALT1",724,"beta-1,4-galactosyltransferase 1",0.79516619,2.64e-47,1.294235775,6.1e-50
"ATP6V0A2",725,"ATPase H+ transporting V0 subunit a2",1.012270836,4.2e-78,0.893244749,4.51e-28
"TAPBPL",729,"TAP binding protein like",1.254327207,3.33e-37,2.976243386,7.64e-81
"CKB",730,"creatine kinase B",-1.114844875,5.99e-98,-2.248307298,1.36e-23
"GNAS",733,"GNAS complex locus",-0.684115144,1.79e-228,-0.615172492,4.66e-17
"SLC16A1",750,"solute carrier family 16 member 1",0.642941233,2.01e-70,0.614875233,4.09e-29
"RAB3GAP2",753,"RAB3 GTPase activating non-catalytic protein subunit 2",0.671769522,6.82e-54,1.108112509,1.22e-38
"ARC",754,"activity regulated cytoskeleton associated protein",2.159057471,5.54e-46,2.437974506,3.23e-47
"BEST1",762,"bestrophin 1",2.236738877,3.51e-49,3.3250343,2.13e-42
"SCFD1",766,"sec1 family domain containing 1",0.652422066,1.27e-60,1.109424652,3.57e-33
"ITSN1",770,"intersectin 1",-0.82899998,1.24e-73,-1.072462834,4.93e-27
"CD68",772,"CD68 molecule",2.943351382,3.65e-35,2.976356402,6.36e-77
"TMBIM1",773,"transmembrane BAX inhibitor motif containing 1",0.789231928,1.07e-69,1.084321806,3.3e-28
"NCEH1",775,"neutral cholesterol ester hydrolase 1",2.006525308,8.72e-49,2.262226414,2.66e-41
"PSTPIP2",777,"proline-serine-threonine phosphatase interacting protein 2",2.479322276,2.62e-72,1.202613314,6e-27
"CSF1",778,"colony stimulating factor 1",2.811089318,9.8e-73,1.711467838,7.48e-27
"TCAF1",786,"TRPM8 channel associated factor 1",-1.145553953,3.27e-40,-1.133697796,1.96e-54
"P2RX4",789,"purinergic receptor P2X 4",1.864597768,1.5e-135,1.11666847,3.52e-18
"ANTXR1",791,"ANTXR cell adhesion molecule 1",-0.756761082,4.74e-73,-0.758139478,2.67e-26
"FLRT2",793,"fibronectin leucine rich transmembrane protein 2",1.079084585,6.98e-37,1.915613019,4.48e-65
"ATP8B2",794,"ATPase phospholipid transporting 8B2",0.535791267,2.4e-68,1.261802066,8.5e-28
"PALM2AKAP2",800,"PALM2 and AKAP2 fusion",1.302535675,1.47e-126,0.465147789,1.67e-18
"ATP10A",802,"ATPase phospholipid transporting 10A (putative)",3.719800837,3.94e-36,1.837574925,7.27e-65
"HS3ST3B1",806,"heparan sulfate-glucosamine 3-sulfotransferase 3B1",1.54067721,2.54e-155,1.986351258,7.87e-17
"CDC42EP2",814,"CDC42 effector protein 2",2.131981787,2.37e-111,2.407645528,3.29e-19
"ACSL3",817,"acyl-CoA synthetase long chain family member 3",-0.626846255,2.67e-44,-0.699362861,1.04e-42
"SLC9A1",825,"solute carrier family 9 member A1",0.871303414,9.55e-34,1.143539138,1.39e-67
"ABCC4",827,"ATP binding cassette subfamily C member 4",0.828615537,7.14e-32,1.213555168,1.37e-77
"TRAF3",835,"TNF receptor associated factor 3",0.915984059,1.81e-40,0.953686291,7.52e-46
"AP2M1",836,"adaptor related protein complex 2 subunit mu 1",-0.608653865,2.66e-76,-0.738195666,9.14e-23
"PLCE1",837,"phospholipase C epsilon 1",-1.700483059,2.38e-113,-1.625950182,3.28e-18
"ENPP1",838,"ectonucleotide pyrophosphatase/phosphodiesterase 1",-1.35318203,8.24e-31,-2.11920498,1.12e-79
"PLGRKT",842,"plasminogen receptor with a C-terminal lysine",1.434051712,7.96e-33,2.357356014,1.4e-67
"CELSR2",844,"cadherin EGF LAG seven-pass G-type receptor 2",-1.641282082,8.22e-39,-2.062826008,6.63e-49
"NECTIN2",846,"nectin cell adhesion molecule 2",0.826468971,2.74e-79,1.07273604,5.24e-22
"ZMAT3",850,"zinc finger matrin-type 3",-0.821091181,6.65e-34,-2.082681249,1.3e-60
"HSPA13",851,"heat shock protein family A (Hsp70) member 13",0.558007565,2.44e-39,1.476700876,4.65e-47
"CFLAR",852,"CASP8 and FADD like apoptosis regulator",1.394946263,2.85e-75,1.316548569,1.2e-22
"TNFRSF8",854,"TNF receptor superfamily member 8",1.818281091,1.22e-34,3.047408104,8.88e-57
"PDE4D",855,"phosphodiesterase 4D",1.287527262,3.17e-34,3.017570247,4.32e-57
"ADRM1",880,"ADRM1 26S proteasome ubiquitin receptor",0.74386176,1.49e-164,0.70804271,6.79e-15
"YRDC",892,"yrdC N6-threonylcarbamoyltransferase domain containing",1.239711945,1.12e-27,2.365580697,5.6e-83
"RALBP1",893,"ralA binding protein 1",-0.488507719,2.89e-52,-0.807940174,2.68e-29
"PARD3",896,"par-3 family cell polarity regulator",0.729084338,7.11e-64,0.688381197,2.58e-24
"CHIC2",899,"cysteine rich hydrophobic domain 2",1.283455433,2.46e-51,1.916297019,4.32e-29
"FNBP1",901,"formin binding protein 1",-0.686625188,1.31e-97,-0.769199806,1.35e-17
"AIP",904,"aryl hydrocarbon receptor interacting protein",-1.23266483,1.1e-134,-1.094138342,3.53e-15
"MPP2",909,"MAGUK p55 scaffold protein 2",-1.160541256,2.54e-32,-2.502250111,1.71e-53
"CCDC8",910,"coiled-coil domain containing 8",-0.902727198,1.33e-42,-1.246427996,1.23e-35
"CDC42SE2",916,"CDC42 small effector 2",0.639360111,4.98e-28,1.441177693,1.05e-71
"ATP2B4",919,"ATPase plasma membrane Ca2+ transporting 4",-2.774471261,0,-1.089625471,2.82e-12
"SLC35G2",923,"solute carrier family 35 member G2",2.54962261,1.51e-167,1.510797755,9.06e-14
"SFRP1",924,"secreted frizzled related protein 1",-0.70654139,1.27e-42,-1.838902516,3.55e-34
"ITGB5",932,"integrin subunit beta 5",-1.26639744,5.5e-111,-0.950938114,7.77e-16
"EPHB3",934,"EPH receptor B3",-3.442405966,6.17e-24,-2.179156909,2.06e-102
"RPL36A",944,"ribosomal protein L36a",-0.955148422,1.96e-102,-0.563453777,4.08e-16
"NFKBIA",945,"NFKB inhibitor alpha",1.196079154,6.59e-39,1.360263613,2.2e-37
"SIDT2",947,"SID1 transmembrane family member 2",-0.899956765,1e-28,-1.975455461,1.34e-58
"CDH24",948,"cadherin 24",-1.953400615,5.92e-28,-2.449529716,6.85e-63
"ZDHHC5",949,"zinc finger DHHC-type palmitoyltransferase 5",0.582320788,7.24e-43,0.796510291,4.27e-32
"SH2B1",951,"SH2B adaptor protein 1",-1.699680232,7.19e-98,-1.910575707,3.59e-16
"ARHGAP21",954,"Rho GTPase activating protein 21",1.036951168,5.74e-81,0.956848271,5.33e-18
"PPP2R1A",959,"protein phosphatase 2 scaffold subunit Aalpha",-1.028978754,3.05e-122,-0.671781907,1.67e-14
"GEM",963,"GTP binding protein overexpressed in skeletal muscle",2.598241446,2.39e-89,0.769649844,9.42e-17
"PALLD",965,"palladin, cytoskeletal associated protein",-0.701255934,9.58e-57,-1.158746144,3.99e-23
"OAS3",968,"2'-5'-oligoadenylate synthetase 3",3.19400466,3e-59,3.262175092,2.88e-22
"DBNL",970,"drebrin like",-0.423545993,2.52e-33,-1.043168092,5.75e-43
"SLC29A4",978,"solute carrier family 29 member 4",-1.976009685,1.18e-33,-1.959465535,1.94e-41
"PTPRS",980,"protein tyrosine phosphatase receptor type S",-1.90646407,3.58e-158,-0.645230637,7.51e-13
"LRRC45",982,"leucine rich repeat containing 45",-2.324766251,1.73e-63,-3.097575642,9.98e-21
"DOCK4",983,"dedicator of cytokinesis 4",1.026370173,2.93e-24,2.271470969,1.7e-73
"HNRNPF",988,"heterogeneous nuclear ribonucleoprotein F",0.413259564,3.94e-35,0.640894069,2.47e-38
"DDR2",990,"discoidin domain receptor tyrosine kinase 2",0.355851304,4.71e-22,1.634045496,1.39e-97
"UBA52",998,"ubiquitin A-52 residue ribosomal protein fusion product 1",-1.488768592,1.22e-201,-0.5985484,1.23e-11
"C2CD2L",1000,"C2CD2 like",1.106308301,7.45e-49,1.34320661,4.27e-25
"ATP1B1",1013,"ATPase Na+/K+ transporting subunit beta 1",-0.89971462,3.16e-38,-1.639423557,5.95e-33
"PRCP",1020,"prolylcarboxypeptidase",-1.188401516,1.13e-81,-0.787633362,2.89e-16
"AKT1",1026,"AKT serine/threonine kinase 1",-0.745675207,2.62e-116,-0.43065507,1.02e-13
"TGFBI",1029,"transforming growth factor beta induced",-1.291487072,2.84e-161,-1.076873199,4.95e-12
"CD99L2",1030,"CD99 molecule like 2",-1.167372055,9.29e-39,-1.019089968,1.24e-31
"ROBO3",1034,"roundabout guidance receptor 3",1.68506993,9.15e-146,1.282120953,2.6e-12
"VLDLR",1035,"very low density lipoprotein receptor",0.767699871,2.08e-45,3.570443392,8.83e-26
"STX4",1041,"syntaxin 4",1.501367626,1.46e-119,0.529051396,2.47e-13
"NRP2",1042,"neuropilin 2",0.738848838,2.22e-25,1.556660164,8.54e-56
"PACSIN2",1050,"protein kinase C and casein kinase substrate in neurons 2",-0.425115119,2.29e-26,-1.041570434,1.14e-51
"CMKLR2",1051,"chemerin chemokine-like receptor 2",1.387671112,1.09e-18,5.254484674,9.21e-169
"CDK14",1053,"cyclin dependent kinase 14",-1.219592823,1.31e-40,-0.800957817,7.18e-29
"DYNC1LI1",1056,"dynein cytoplasmic 1 light intermediate chain 1",0.592836842,8.54e-42,1.06963077,3.86e-28
"CYLD",1060,"CYLD lysine 63 deubiquitinase",1.26467526,6.91e-53,1.003126133,1.04e-21
"SLC33A1",1066,"solute carrier family 33 member 1",1.068353695,1.17e-61,0.793621153,3.17e-19
"FLNB",1068,"filamin B",0.255299192,1.83e-17,4.501234939,0
"PGRMC1",1069,"progesterone receptor membrane component 1",-1.328538412,6.97e-120,-0.583912346,6.25e-13
"FZD5",1070,"frizzled class receptor 5",3.274607955,1.14e-152,0.963948588,1.02e-11
"ADAM10",1071,"ADAM metallopeptidase domain 10",-0.499011772,1.04e-29,-1.008364889,1.97e-42
"SOCS3",1074,"suppressor of cytokine signaling 3",3.512999291,1.54e-288,0.700566258,4.95e-10
"PTP4A1",1075,"protein tyrosine phosphatase 4A1",1.067428736,8.6e-27,1.569249188,2.13e-47
"IL1RAP",1082,"interleukin 1 receptor accessory protein",1.377129826,2.76e-49,1.231602913,4.14e-22
"PACC1",1098,"proton activated chloride channel 1",0.928246417,5.05e-23,1.182610329,6.01e-57
"PIP5K1A",1100,"phosphatidylinositol-4-phosphate 5-kinase type 1 alpha",0.636084942,3.96e-33,0.659098244,5.07e-34
"TNFRSF9",1105,"TNF receptor superfamily member 9",4.320711719,6.77e-131,1.077861608,1.02e-11
"ATP6V1A",1107,"ATPase H+ transporting V1 subunit A",-0.732573348,1.23e-30,-1.27402559,3.88e-37
